,subject,session,run
0,1,session_T,run_0
1,1,session_T,run_0
2,1,session_T,run_0
3,1,session_T,run_0
4,1,session_T,run_0
5,1,session_T,run_0
6,1,session_T,run_0
7,1,session_T,run_0
8,1,session_T,run_0
9,1,session_T,run_0
10,1,session_T,run_0
11,1,session_T,run_0
12,1,session_T,run_0
13,1,session_T,run_0
14,1,session_T,run_0
15,1,session_T,run_0
16,1,session_T,run_0
17,1,session_T,run_0
18,1,session_T,run_0
19,1,session_T,run_0
20,1,session_T,run_0
21,1,session_T,run_0
22,1,session_T,run_0
23,1,session_T,run_0
24,1,session_T,run_0
25,1,session_T,run_0
26,1,session_T,run_0
27,1,session_T,run_0
28,1,session_T,run_0
29,1,session_T,run_0
30,1,session_T,run_0
31,1,session_T,run_0
32,1,session_T,run_0
33,1,session_T,run_0
34,1,session_T,run_0
35,1,session_T,run_0
36,1,session_T,run_0
37,1,session_T,run_0
38,1,session_T,run_0
39,1,session_T,run_0
40,1,session_T,run_0
41,1,session_T,run_0
42,1,session_T,run_0
43,1,session_T,run_0
44,1,session_T,run_0
45,1,session_T,run_0
46,1,session_T,run_0
47,1,session_T,run_0
48,1,session_T,run_1
49,1,session_T,run_1
50,1,session_T,run_1
51,1,session_T,run_1
52,1,session_T,run_1
53,1,session_T,run_1
54,1,session_T,run_1
55,1,session_T,run_1
56,1,session_T,run_1
57,1,session_T,run_1
58,1,session_T,run_1
59,1,session_T,run_1
60,1,session_T,run_1
61,1,session_T,run_1
62,1,session_T,run_1
63,1,session_T,run_1
64,1,session_T,run_1
65,1,session_T,run_1
66,1,session_T,run_1
67,1,session_T,run_1
68,1,session_T,run_1
69,1,session_T,run_1
70,1,session_T,run_1
71,1,session_T,run_1
72,1,session_T,run_1
73,1,session_T,run_1
74,1,session_T,run_1
75,1,session_T,run_1
76,1,session_T,run_1
77,1,session_T,run_1
78,1,session_T,run_1
79,1,session_T,run_1
80,1,session_T,run_1
81,1,session_T,run_1
82,1,session_T,run_1
83,1,session_T,run_1
84,1,session_T,run_1
85,1,session_T,run_1
86,1,session_T,run_1
87,1,session_T,run_1
88,1,session_T,run_1
89,1,session_T,run_1
90,1,session_T,run_1
91,1,session_T,run_1
92,1,session_T,run_1
93,1,session_T,run_1
94,1,session_T,run_1
95,1,session_T,run_1
96,1,session_T,run_2
97,1,session_T,run_2
98,1,session_T,run_2
99,1,session_T,run_2
100,1,session_T,run_2
101,1,session_T,run_2
102,1,session_T,run_2
103,1,session_T,run_2
104,1,session_T,run_2
105,1,session_T,run_2
106,1,session_T,run_2
107,1,session_T,run_2
108,1,session_T,run_2
109,1,session_T,run_2
110,1,session_T,run_2
111,1,session_T,run_2
112,1,session_T,run_2
113,1,session_T,run_2
114,1,session_T,run_2
115,1,session_T,run_2
116,1,session_T,run_2
117,1,session_T,run_2
118,1,session_T,run_2
119,1,session_T,run_2
120,1,session_T,run_2
121,1,session_T,run_2
122,1,session_T,run_2
123,1,session_T,run_2
124,1,session_T,run_2
125,1,session_T,run_2
126,1,session_T,run_2
127,1,session_T,run_2
128,1,session_T,run_2
129,1,session_T,run_2
130,1,session_T,run_2
131,1,session_T,run_2
132,1,session_T,run_2
133,1,session_T,run_2
134,1,session_T,run_2
135,1,session_T,run_2
136,1,session_T,run_2
137,1,session_T,run_2
138,1,session_T,run_2
139,1,session_T,run_2
140,1,session_T,run_2
141,1,session_T,run_2
142,1,session_T,run_2
143,1,session_T,run_2
144,1,session_T,run_3
145,1,session_T,run_3
146,1,session_T,run_3
147,1,session_T,run_3
148,1,session_T,run_3
149,1,session_T,run_3
150,1,session_T,run_3
151,1,session_T,run_3
152,1,session_T,run_3
153,1,session_T,run_3
154,1,session_T,run_3
155,1,session_T,run_3
156,1,session_T,run_3
157,1,session_T,run_3
158,1,session_T,run_3
159,1,session_T,run_3
160,1,session_T,run_3
161,1,session_T,run_3
162,1,session_T,run_3
163,1,session_T,run_3
164,1,session_T,run_3
165,1,session_T,run_3
166,1,session_T,run_3
167,1,session_T,run_3
168,1,session_T,run_3
169,1,session_T,run_3
170,1,session_T,run_3
171,1,session_T,run_3
172,1,session_T,run_3
173,1,session_T,run_3
174,1,session_T,run_3
175,1,session_T,run_3
176,1,session_T,run_3
177,1,session_T,run_3
178,1,session_T,run_3
179,1,session_T,run_3
180,1,session_T,run_3
181,1,session_T,run_3
182,1,session_T,run_3
183,1,session_T,run_3
184,1,session_T,run_3
185,1,session_T,run_3
186,1,session_T,run_3
187,1,session_T,run_3
188,1,session_T,run_3
189,1,session_T,run_3
190,1,session_T,run_3
191,1,session_T,run_3
192,1,session_T,run_4
193,1,session_T,run_4
194,1,session_T,run_4
195,1,session_T,run_4
196,1,session_T,run_4
197,1,session_T,run_4
198,1,session_T,run_4
199,1,session_T,run_4
200,1,session_T,run_4
201,1,session_T,run_4
202,1,session_T,run_4
203,1,session_T,run_4
204,1,session_T,run_4
205,1,session_T,run_4
206,1,session_T,run_4
207,1,session_T,run_4
208,1,session_T,run_4
209,1,session_T,run_4
210,1,session_T,run_4
211,1,session_T,run_4
212,1,session_T,run_4
213,1,session_T,run_4
214,1,session_T,run_4
215,1,session_T,run_4
216,1,session_T,run_4
217,1,session_T,run_4
218,1,session_T,run_4
219,1,session_T,run_4
220,1,session_T,run_4
221,1,session_T,run_4
222,1,session_T,run_4
223,1,session_T,run_4
224,1,session_T,run_4
225,1,session_T,run_4
226,1,session_T,run_4
227,1,session_T,run_4
228,1,session_T,run_4
229,1,session_T,run_4
230,1,session_T,run_4
231,1,session_T,run_4
232,1,session_T,run_4
233,1,session_T,run_4
234,1,session_T,run_4
235,1,session_T,run_4
236,1,session_T,run_4
237,1,session_T,run_4
238,1,session_T,run_4
239,1,session_T,run_4
240,1,session_T,run_5
241,1,session_T,run_5
242,1,session_T,run_5
243,1,session_T,run_5
244,1,session_T,run_5
245,1,session_T,run_5
246,1,session_T,run_5
247,1,session_T,run_5
248,1,session_T,run_5
249,1,session_T,run_5
250,1,session_T,run_5
251,1,session_T,run_5
252,1,session_T,run_5
253,1,session_T,run_5
254,1,session_T,run_5
255,1,session_T,run_5
256,1,session_T,run_5
257,1,session_T,run_5
258,1,session_T,run_5
259,1,session_T,run_5
260,1,session_T,run_5
261,1,session_T,run_5
262,1,session_T,run_5
263,1,session_T,run_5
264,1,session_T,run_5
265,1,session_T,run_5
266,1,session_T,run_5
267,1,session_T,run_5
268,1,session_T,run_5
269,1,session_T,run_5
270,1,session_T,run_5
271,1,session_T,run_5
272,1,session_T,run_5
273,1,session_T,run_5
274,1,session_T,run_5
275,1,session_T,run_5
276,1,session_T,run_5
277,1,session_T,run_5
278,1,session_T,run_5
279,1,session_T,run_5
280,1,session_T,run_5
281,1,session_T,run_5
282,1,session_T,run_5
283,1,session_T,run_5
284,1,session_T,run_5
285,1,session_T,run_5
286,1,session_T,run_5
287,1,session_T,run_5
288,1,session_E,run_0
289,1,session_E,run_0
290,1,session_E,run_0
291,1,session_E,run_0
292,1,session_E,run_0
293,1,session_E,run_0
294,1,session_E,run_0
295,1,session_E,run_0
296,1,session_E,run_0
297,1,session_E,run_0
298,1,session_E,run_0
299,1,session_E,run_0
300,1,session_E,run_0
301,1,session_E,run_0
302,1,session_E,run_0
303,1,session_E,run_0
304,1,session_E,run_0
305,1,session_E,run_0
306,1,session_E,run_0
307,1,session_E,run_0
308,1,session_E,run_0
309,1,session_E,run_0
310,1,session_E,run_0
311,1,session_E,run_0
312,1,session_E,run_0
313,1,session_E,run_0
314,1,session_E,run_0
315,1,session_E,run_0
316,1,session_E,run_0
317,1,session_E,run_0
318,1,session_E,run_0
319,1,session_E,run_0
320,1,session_E,run_0
321,1,session_E,run_0
322,1,session_E,run_0
323,1,session_E,run_0
324,1,session_E,run_0
325,1,session_E,run_0
326,1,session_E,run_0
327,1,session_E,run_0
328,1,session_E,run_0
329,1,session_E,run_0
330,1,session_E,run_0
331,1,session_E,run_0
332,1,session_E,run_0
333,1,session_E,run_0
334,1,session_E,run_0
335,1,session_E,run_0
336,1,session_E,run_1
337,1,session_E,run_1
338,1,session_E,run_1
339,1,session_E,run_1
340,1,session_E,run_1
341,1,session_E,run_1
342,1,session_E,run_1
343,1,session_E,run_1
344,1,session_E,run_1
345,1,session_E,run_1
346,1,session_E,run_1
347,1,session_E,run_1
348,1,session_E,run_1
349,1,session_E,run_1
350,1,session_E,run_1
351,1,session_E,run_1
352,1,session_E,run_1
353,1,session_E,run_1
354,1,session_E,run_1
355,1,session_E,run_1
356,1,session_E,run_1
357,1,session_E,run_1
358,1,session_E,run_1
359,1,session_E,run_1
360,1,session_E,run_1
361,1,session_E,run_1
362,1,session_E,run_1
363,1,session_E,run_1
364,1,session_E,run_1
365,1,session_E,run_1
366,1,session_E,run_1
367,1,session_E,run_1
368,1,session_E,run_1
369,1,session_E,run_1
370,1,session_E,run_1
